tau,Sstar,Vstar
0.716333,71.5,28.5
0.716,71.5,28.5
0.715667,71.5,28.5
0.715333,71.5,28.5
0.715,71.5,28.5
0.714667,71.5,28.5
0.714333,71.5,28.5
0.714,71.5,28.5
0.713667,71.5,28.5
0.713333,71.5,28.5
0.713,71.5,28.5
0.712667,71.5,28.5
0.712333,71.5,28.5
0.712,71.5,28.5
0.711667,71.5,28.5
0.711333,71.5,28.5
0.711,71.5,28.5
0.710667,71.5,28.5
0.710333,71.5,28.5
0.71,71.5,28.5
0.709667,71.5,28.5
0.709333,71.5,28.5
0.709,71.5,28.5
0.708667,71.5,28.5
0.708333,71.5,28.5
0.708,71.5,28.5
0.707667,71.5,28.5
0.707333,71.5,28.5
0.707,71.5,28.5
0.706667,71.5,28.5
0.706333,71.5,28.5
0.706,71.5,28.5
0.705667,71.5,28.5
0.705333,71.5,28.5
0.705,71.5,28.5
0.704667,71.5,28.5
0.704333,71.5,28.5
0.704,71.5,28.5
0.703667,71.5,28.5
0.703333,71.5,28.5
0.703,71.5,28.5
0.702667,71.5,28.5
0.702333,71.5,28.5
0.702,71.5,28.5
0.701667,71.5,28.5
0.701333,71.5,28.5
0.701,71.5,28.5
0.700667,71.5,28.5
0.700333,71.5,28.5
0.7,71.5,28.5
0.699667,72,28
0.699333,72,28
0.699,72,28
0.698667,72,28
0.698333,72,28
0.698,72,28
0.697667,72,28
0.697333,72,28
0.697,72,28
0.696667,72,28
0.696333,72,28
0.696,72,28
0.695667,72,28
0.695333,72,28
0.695,72,28
0.694667,72,28
0.694333,72,28
0.694,72,28
0.693667,72,28
0.693333,72,28
0.693,72,28
0.692667,72,28
0.692333,72,28
0.692,72,28
0.691667,72,28
0.691333,72,28
0.691,72,28
0.690667,72,28
0.690333,72,28
0.69,72,28
0.689667,72,28
0.689333,72,28
0.689,72,28
0.688667,72,28
0.688333,72,28
0.688,72,28
0.687667,72,28
0.687333,72,28
0.687,72,28
0.686667,72,28
0.686333,72,28
0.686,72,28
0.685667,72,28
0.685333,72,28
0.685,72,28
0.684667,72,28
0.684333,72,28
0.684,72,28
0.683667,72,28
0.683333,72,28
0.683,72,28
0.682667,72,28
0.682333,72,28
0.682,72,28
0.681667,72,28
0.681333,72,28
0.681,72,28
0.680667,72,28
0.680333,72,28
0.68,72,28
0.679667,72,28
0.679333,72,28
0.679,72,28
0.678667,72,28
0.678333,72,28
0.678,72,28
0.677667,72,28
0.677333,72,28
0.677,72,28
0.676667,72,28
0.676333,72,28
0.676,72,28
0.675667,72,28
0.675333,72,28
0.675,72,28
0.674667,72,28
0.674333,72,28
0.674,72,28
0.673667,72,28
0.673333,72,28
0.673,72,28
0.672667,72,28
0.672333,72,28
0.672,72,28
0.671667,72,28
0.671333,72,28
0.671,72,28
0.670667,72,28
0.670333,72,28
0.67,72,28
0.669667,72,28
0.669333,72,28
0.669,72,28
0.668667,72,28
0.668333,72,28
0.668,72,28
0.667667,72,28
0.667333,72,28
0.667,72,28
0.666667,72,28
0.666333,72,28
0.666,72,28
0.665667,72,28
0.665333,72,28
0.665,72,28
0.664667,72,28
0.664333,72,28
0.664,72,28
0.663667,72,28
0.663333,72,28
0.663,72,28
0.662667,72,28
0.662333,72,28
0.662,72,28
0.661667,72,28
0.661333,72,28
0.661,72,28
0.660667,72,28
0.660333,72,28
0.66,72,28
0.659667,72,28
0.659333,72,28
0.659,72,28
0.658667,72,28
0.658333,72,28
0.658,72,28
0.657667,72,28
0.657333,72,28
0.657,72,28
0.656667,72,28
0.656333,72,28
0.656,72,28
0.655667,72,28
0.655333,72,28
0.655,72,28
0.654667,72,28
0.654333,72,28
0.654,72,28
0.653667,72,28
0.653333,72,28
0.653,72,28
0.652667,72,28
0.652333,72.5,27.5
0.652,72.5,27.5
0.651667,72.5,27.5
0.651333,72.5,27.5
0.651,72.5,27.5
0.650667,72.5,27.5
0.650333,72.5,27.5
0.65,72.5,27.5
0.649667,72.5,27.5
0.649333,72.5,27.5
0.649,72.5,27.5
0.648667,72.5,27.5
0.648333,72.5,27.5
0.648,72.5,27.5
0.647667,72.5,27.5
0.647333,72.5,27.5
0.647,72.5,27.5
0.646667,72.5,27.5
0.646333,72.5,27.5
0.646,72.5,27.5
0.645667,72.5,27.5
0.645333,72.5,27.5
0.645,72.5,27.5
0.644667,72.5,27.5
0.644333,72.5,27.5
0.644,72.5,27.5
0.643667,72.5,27.5
0.643333,72.5,27.5
0.643,72.5,27.5
0.642667,72.5,27.5
0.642333,72.5,27.5
0.642,72.5,27.5
0.641667,72.5,27.5
0.641333,72.5,27.5
0.641,72.5,27.5
0.640667,72.5,27.5
0.640333,72.5,27.5
0.64,72.5,27.5
0.639667,72.5,27.5
0.639333,72.5,27.5
0.639,72.5,27.5
0.638667,72.5,27.5
0.638333,72.5,27.5
0.638,72.5,27.5
0.637667,72.5,27.5
0.637333,72.5,27.5
0.637,72.5,27.5
0.636667,72.5,27.5
0.636333,72.5,27.5
0.636,72.5,27.5
0.635667,72.5,27.5
0.635333,72.5,27.5
0.635,72.5,27.5
0.634667,72.5,27.5
0.634333,72.5,27.5
0.634,72.5,27.5
0.633667,72.5,27.5
0.633333,72.5,27.5
0.633,72.5,27.5
0.632667,72.5,27.5
0.632333,72.5,27.5
0.632,72.5,27.5
0.631667,72.5,27.5
0.631333,72.5,27.5
0.631,72.5,27.5
0.630667,72.5,27.5
0.630333,72.5,27.5
0.63,72.5,27.5
0.629667,72.5,27.5
0.629333,72.5,27.5
0.629,72.5,27.5
0.628667,72.5,27.5
0.628333,72.5,27.5
0.628,72.5,27.5
